X,Y,fid,Zona,Bairro,Núcleo ,Caracterização,Áreas de produção,Referencia,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,icon_url
-43.5118888888889,-22.9277222222222,"1",OESTE,CAMPO GRANDE,"Núcleo 1: Agroprata - 13 safs
","Agricultura de base camponesa, familiar, com acesso a mercado de orgânicos; Certicação da produção atraves de SPG (Rio da Prata); Principal cultura: Caqui. Outras culturas: legumes, verduras, plantas medicinais, banana. Processam caqui (vinagre e caqui passa) e banana (banana passa); Pouco acesso a redes de articulalção política e agroecológica; ","Sampaia*; -Claudino*; -Madalena*; -Sebastião*; -Sebastião; -Gorete; -Rita * ; 22°55'39.8""S 43°30'42.8""W; -Alberto*; -Tiago; -Leonardo; -Mário; -LuizCarlos; -Dalila *; -Antônio",Sampaia,,,,,,,,,,,,./0.png
-43.5140650602194,-22.9173157815142,"2",OESTE,CAMPO GRANDE,Núcleo 2: Agricultores Quilombo Dona Bilina,"Agricultura de base camponesa sem acesso a mercados solidários e redes de agroecologia
Principal cultura: caqui. Outras culturas: banana",,,,,,,,,,,,,,./0.png
-43.5140650602194,-22.9173157815142,"3",OESTE,CAMPO GRANDE,"Núcleo 3: 
Hortas urbanas Quilombo Dona Bilina
/Caboclos - 2 safs","Quintais produtivos de menor escala com foco no autoconsumo.
Projeto Piloto da Pastoral
Plantas medicinais, hortaliças e PANCS","-Leonidia
-22.917315781514233, -43.51406506021944
-Pastoral
-22.907985118609293, -43.52870001789101",Leonídia,,,,,,,,,,,,./0.png
-43.528700017891,-22.9079851186092,"4",OESTE,CAMPO GRANDE,,"Quintais produtivos de menor escala com foco no autoconsumo.
Projeto Piloto da Pastoral
Plantas medicinais, hortaliças e PANCS",Pastoral,Pastoral,,,,,,,,,,,,./0.png
-43.5118888888889,-22.9277222222222,"5",OESTE,CAMPO GRANDE,"Núcleo 4: Agricultores do SPG Rede Cau + AAFA - 3 safs
","Quintais produtivos de pequena escala com acesso ao mercado de orgânicos. 
Certicação da produção atraves de SPG (Rede CAU)
Acesso a redes de agroecologia","Irma e Pedro Paulo; 22°52'53.8""S 43°31'05.1""W; - Gaucho, Marta e Larissa;  Alonso -22.824014186222584, -43.55652763509958",Irma e Pedro Paulo,,,,,,,,,,,,./0.png
-43.5565276350995,-22.8240141862225,"6",OESTE,,,,"Gaucho, Marta e Larissa",Gaucho,,,,,,,,,,,,./0.png
0,0,"7",OESTE,VARGEM GRANDE,"Núcleo 5: Agricultores Quilombo Cafundá - 11 safs
","Agricultura de base camponesa com pouco acesso ao mercado de orgânicos, Certificação da produção através de SPG (Rede CAU), Principal cultura: banana. Outras: mandioca,  citrus
Acesso a redes de agroecologia",,,,,,,,,,,,,,./0.png
-43.4940990025468,-22.9739489167735,"8",OESTE,VARGEM GRANDE,Núcleo 6: Agricultores e quintais Feira da Roça e Agrovargem/AMAVAG - 4 safs,"Agricultores de base camponesa do Maciço fora do circuito Quilombo. Acessam as redes de agroecologia, Certificação solidária e orgânica, Quintais com hortaliças, pancs e plantas medicinais","Maria do Ceu *, - Dona Lurdinha, -22.973948916773576, -43.494099002546854, -Miguel *, -22.952276655759846, -43.4900962539714, -SrJorge (Cascatinha), -Giovanna, -Sarah, amavag",Maria do Céu,,,,,,,,,,,,./0.png
-43.4900962539714,-22.9522766557598,"9",OESTE,,,"Agricultores de base camponesa do Maciço fora do circuito Quilombo. Acessam as redes de agroecologia, Certificação solidária e orgânica, Quintais com hortaliças, pancs e plantas medicinais",Miguel,Sr Jorge,,,,,,,,,,,,./0.png
-43.4243104767143,-22.9685719539176,"10",OESTE,CAMORIM,"Núcleo 7: Horta da ACUQCA - 1 saf
","Horta e pomar em construção no Sítio Arqueológico do Quilombo Camorim; Envolvimento com a comunidade através do mutirão mensal, jovens e crianças de escolas do  entorno; Principal cultura: hortaliças e temperos; Acesso à redes do movimento negro, não acessa as redes de agroecologia; Não há comercialização","Horta da ACUQCA *, -22.968571953917692, -43.42431047671433",Horta da ACUQCA,,,,,,,,,,,,./0.png
-43.3965291991128,-22.9386434964741,"11",OESTE,COLÔNIA,Núcleo 8:Mulheres dos Quintais da Colônia - 8 safs,"Quintais de pequena escala para autoconsumo e venda, acesso ao mercado de orgânicos
Certicação da produção através do SPG (Rede CAU)
Hortaliças, PANcs, temperos, pães, bolos e plantas medicinais","(-22.938643496474104, -43.39652919911287 ; Aldacir *; Sumaya; Fátima; Brenda *; Sandra; Joana; Carla)",Aldacir,,,,,,,,,,,,./0.png
-43.4412961586071,-22.9320469289176,"12",OESTE,COLÔNIA,Núcleo 9: Agricultores do Pau da Fome e Colônia - 1 saf,"Agricultores de base camponesa e familiar
Acesso a certificação orgânica
Principais culturas: banana, legumes
","Russo * -22.932046928917604, -43.441296158607194
",Russo,,,,,,,,,,,,./0.png
-43.6531742336926,-22.975388519298,"13",OESTE,GUARATIBA,"Núcleo 10: Horta da Brisa e grupo Amigos da Horta

8 safs","Quintais, Hortas comunitárias, Processamento de plantas medicinais","Maria confirmar nomes -22.975388519298033, -43.65317423369267 Francisca Rosi, Eliane, Isabel, Leda, Mulheres de Pedra, -23.002721061448995, -43.639078731841764, Albina e  Carlito",Francisca,,,,,,,,,,,,./0.png
-43.6390787318417,-23.0027210614489,"14",OESTE,GUARATIBA,,"Quintais, Hortas comunitárias, Processamento de plantas medicinais",Mulheres de Pedra,Albina e Carlito,,,,,,,,,,,,./0.png
-43.3846234030085,-22.8908547196245,"15",OESTE,SULACAP,Núcleo 11: JSBS - 1 saf,"Agrofloresta em praça pública com gestão da associação de moradores. Projeto Praça de Comida, Pessoas com acesso a informação crítica, organizados, a maioria com nível superior. Educação ambiental, educação alimentar e nutricional ","Praça Quincas Borba *, -22.89085471962451, -43.38462340300858",Praça Quincas Borba,,,,,,,,,,,,./0.png
-43.283385,-22.847773,"16",ZONA NORTE,Penha,Núcleo 12: Complexo da penha,,,Vila Cruzeiro,,,,,,,,,,,,./0.png
-43.276133,-22.860072,"17",ZONA NORTE,Alemão,Núcleo 13: Complexo do alemão Verdejar,,,Morro Alemão,,,,,,,,,,,,./0.png
0,0,"18",,,,,,,,,,,,,,,,,,./0.png
0,0,"19",,,,,,,,,,,,,,,,,,./0.png
0,0,"20",,,,,,,,,,,,,,,,,,./0.png
0,0,"21",,,,,,,,,,,,,,,,,,./0.png
0,0,"22",,,,,,,,,,,,,,,,,,./0.png
0,0,"23",,,,,,,,,,,,,,,,,,./0.png
0,0,"24",,,,,,,,,,,,,,,,,,./0.png
0,0,"25",,,,,,,,,,,,,,,,,,./0.png
0,0,"26",,,,,,,,,,,,,,,,,,./0.png
0,0,"27",,,,,,,,,,,,,,,,,,./0.png
0,0,"28",,,,,,,,,,,,,,,,,,./0.png
0,0,"29",,,,,,,,,,,,,,,,,,./0.png
0,0,"30",,,,,,,,,,,,,,,,,,./0.png
0,0,"31",,,,,,,,,,,,,,,,,,./0.png
0,0,"32",,,,,,,,,,,,,,,,,,./0.png
0,0,"33",,,,,,,,,,,,,,,,,,./0.png
0,0,"34",,,,,,,,,,,,,,,,,,./0.png
0,0,"35",,,,,,,,,,,,,,,,,,./0.png
0,0,"36",,,,,,,,,,,,,,,,,,./0.png
0,0,"37",,,,,,,,,,,,,,,,,,./0.png
0,0,"38",,,,,,,,,,,,,,,,,,./0.png
0,0,"39",,,,,,,,,,,,,,,,,,./0.png
0,0,"40",,,,,,,,,,,,,,,,,,./0.png
0,0,"41",,,,,,,,,,,,,,,,,,./0.png
0,0,"42",,,,,,,,,,,,,,,,,,./0.png
0,0,"43",,,,,,,,,,,,,,,,,,./0.png
0,0,"44",,,,,,,,,,,,,,,,,,./0.png
0,0,"45",,,,,,,,,,,,,,,,,,./0.png
0,0,"46",,,,,,,,,,,,,,,,,,./0.png
0,0,"47",,,,,,,,,,,,,,,,,,./0.png
0,0,"48",,,,,,,,,,,,,,,,,,./0.png
0,0,"49",,,,,,,,,,,,,,,,,,./0.png
0,0,"50",,,,,,,,,,,,,,,,,,./0.png
0,0,"51",,,,,,,,,,,,,,,,,,./0.png
0,0,"52",,,,,,,,,,,,,,,,,,./0.png
0,0,"53",,,,,,,,,,,,,,,,,,./0.png
0,0,"54",,,,,,,,,,,,,,,,,,./0.png
0,0,"55",,,,,,,,,,,,,,,,,,./0.png
0,0,"56",,,,,,,,,,,,,,,,,,./0.png
0,0,"57",,,,,,,,,,,,,,,,,,./0.png
0,0,"58",,,,,,,,,,,,,,,,,,./0.png
0,0,"59",,,,,,,,,,,,,,,,,,./0.png
0,0,"60",,,,,,,,,,,,,,,,,,./0.png
0,0,"61",,,,,,,,,,,,,,,,,,./0.png
0,0,"62",,,,,,,,,,,,,,,,,,./0.png
0,0,"63",,,,,,,,,,,,,,,,,,./0.png
0,0,"64",,,,,,,,,,,,,,,,,,./0.png
0,0,"65",,,,,,,,,,,,,,,,,,./0.png
0,0,"66",,,,,,,,,,,,,,,,,,./0.png
0,0,"67",,,,,,,,,,,,,,,,,,./0.png
0,0,"68",,,,,,,,,,,,,,,,,,./0.png
0,0,"69",,,,,,,,,,,,,,,,,,./0.png
0,0,"70",,,,,,,,,,,,,,,,,,./0.png
0,0,"71",,,,,,,,,,,,,,,,,,./0.png
0,0,"72",,,,,,,,,,,,,,,,,,./0.png
0,0,"73",,,,,,,,,,,,,,,,,,./0.png
0,0,"74",,,,,,,,,,,,,,,,,,./0.png
0,0,"75",,,,,,,,,,,,,,,,,,./0.png
0,0,"76",,,,,,,,,,,,,,,,,,./0.png
0,0,"77",,,,,,,,,,,,,,,,,,./0.png
0,0,"78",,,,,,,,,,,,,,,,,,./0.png
0,0,"79",,,,,,,,,,,,,,,,,,./0.png
0,0,"80",,,,,,,,,,,,,,,,,,./0.png
0,0,"81",,,,,,,,,,,,,,,,,,./0.png
0,0,"82",,,,,,,,,,,,,,,,,,./0.png
0,0,"83",,,,,,,,,,,,,,,,,,./0.png
0,0,"84",,,,,,,,,,,,,,,,,,./0.png
0,0,"85",,,,,,,,,,,,,,,,,,./0.png
0,0,"86",,,,,,,,,,,,,,,,,,./0.png
0,0,"87",,,,,,,,,,,,,,,,,,./0.png
0,0,"88",,,,,,,,,,,,,,,,,,./0.png
0,0,"89",,,,,,,,,,,,,,,,,,./0.png
0,0,"90",,,,,,,,,,,,,,,,,,./0.png
0,0,"91",,,,,,,,,,,,,,,,,,./0.png
0,0,"92",,,,,,,,,,,,,,,,,,./0.png
0,0,"93",,,,,,,,,,,,,,,,,,./0.png
0,0,"94",,,,,,,,,,,,,,,,,,./0.png
0,0,"95",,,,,,,,,,,,,,,,,,./0.png
0,0,"96",,,,,,,,,,,,,,,,,,./0.png
0,0,"97",,,,,,,,,,,,,,,,,,./0.png
0,0,"98",,,,,,,,,,,,,,,,,,./0.png
0,0,"99",,,,,,,,,,,,,,,,,,./0.png
0,0,"100",,,,,,,,,,,,,,,,,,./0.png
0,0,"101",,,,,,,,,,,,,,,,,,./0.png
0,0,"102",,,,,,,,,,,,,,,,,,./0.png
0,0,"103",,,,,,,,,,,,,,,,,,./0.png
0,0,"104",,,,,,,,,,,,,,,,,,./0.png
0,0,"105",,,,,,,,,,,,,,,,,,./0.png
0,0,"106",,,,,,,,,,,,,,,,,,./0.png
0,0,"107",,,,,,,,,,,,,,,,,,./0.png
0,0,"108",,,,,,,,,,,,,,,,,,./0.png
0,0,"109",,,,,,,,,,,,,,,,,,./0.png
0,0,"110",,,,,,,,,,,,,,,,,,./0.png
0,0,"111",,,,,,,,,,,,,,,,,,./0.png
0,0,"112",,,,,,,,,,,,,,,,,,./0.png
0,0,"113",,,,,,,,,,,,,,,,,,./0.png
0,0,"114",,,,,,,,,,,,,,,,,,./0.png
0,0,"115",,,,,,,,,,,,,,,,,,./0.png
0,0,"116",,,,,,,,,,,,,,,,,,./0.png
0,0,"117",,,,,,,,,,,,,,,,,,./0.png
0,0,"118",,,,,,,,,,,,,,,,,,./0.png
0,0,"119",,,,,,,,,,,,,,,,,,./0.png
0,0,"120",,,,,,,,,,,,,,,,,,./0.png
0,0,"121",,,,,,,,,,,,,,,,,,./0.png
0,0,"122",,,,,,,,,,,,,,,,,,./0.png
0,0,"123",,,,,,,,,,,,,,,,,,./0.png
0,0,"124",,,,,,,,,,,,,,,,,,./0.png
0,0,"125",,,,,,,,,,,,,,,,,,./0.png
0,0,"126",,,,,,,,,,,,,,,,,,./0.png
0,0,"127",,,,,,,,,,,,,,,,,,./0.png
0,0,"128",,,,,,,,,,,,,,,,,,./0.png
0,0,"129",,,,,,,,,,,,,,,,,,./0.png
0,0,"130",,,,,,,,,,,,,,,,,,./0.png
0,0,"131",,,,,,,,,,,,,,,,,,./0.png
0,0,"132",,,,,,,,,,,,,,,,,,./0.png
0,0,"133",,,,,,,,,,,,,,,,,,./0.png
0,0,"134",,,,,,,,,,,,,,,,,,./0.png
0,0,"135",,,,,,,,,,,,,,,,,,./0.png
0,0,"136",,,,,,,,,,,,,,,,,,./0.png
0,0,"137",,,,,,,,,,,,,,,,,,./0.png
0,0,"138",,,,,,,,,,,,,,,,,,./0.png
0,0,"139",,,,,,,,,,,,,,,,,,./0.png
0,0,"140",,,,,,,,,,,,,,,,,,./0.png
0,0,"141",,,,,,,,,,,,,,,,,,./0.png
0,0,"142",,,,,,,,,,,,,,,,,,./0.png
0,0,"143",,,,,,,,,,,,,,,,,,./0.png
0,0,"144",,,,,,,,,,,,,,,,,,./0.png
0,0,"145",,,,,,,,,,,,,,,,,,./0.png
0,0,"146",,,,,,,,,,,,,,,,,,./0.png
0,0,"147",,,,,,,,,,,,,,,,,,./0.png
0,0,"148",,,,,,,,,,,,,,,,,,./0.png
0,0,"149",,,,,,,,,,,,,,,,,,./0.png
0,0,"150",,,,,,,,,,,,,,,,,,./0.png
0,0,"151",,,,,,,,,,,,,,,,,,./0.png
0,0,"152",,,,,,,,,,,,,,,,,,./0.png
0,0,"153",,,,,,,,,,,,,,,,,,./0.png
0,0,"154",,,,,,,,,,,,,,,,,,./0.png
0,0,"155",,,,,,,,,,,,,,,,,,./0.png
0,0,"156",,,,,,,,,,,,,,,,,,./0.png
0,0,"157",,,,,,,,,,,,,,,,,,./0.png
0,0,"158",,,,,,,,,,,,,,,,,,./0.png
0,0,"159",,,,,,,,,,,,,,,,,,./0.png
0,0,"160",,,,,,,,,,,,,,,,,,./0.png
0,0,"161",,,,,,,,,,,,,,,,,,./0.png
0,0,"162",,,,,,,,,,,,,,,,,,./0.png
0,0,"163",,,,,,,,,,,,,,,,,,./0.png
0,0,"164",,,,,,,,,,,,,,,,,,./0.png
0,0,"165",,,,,,,,,,,,,,,,,,./0.png
0,0,"166",,,,,,,,,,,,,,,,,,./0.png
0,0,"167",,,,,,,,,,,,,,,,,,./0.png
0,0,"168",,,,,,,,,,,,,,,,,,./0.png
0,0,"169",,,,,,,,,,,,,,,,,,./0.png
0,0,"170",,,,,,,,,,,,,,,,,,./0.png
0,0,"171",,,,,,,,,,,,,,,,,,./0.png
0,0,"172",,,,,,,,,,,,,,,,,,./0.png
0,0,"173",,,,,,,,,,,,,,,,,,./0.png
0,0,"174",,,,,,,,,,,,,,,,,,./0.png
0,0,"175",,,,,,,,,,,,,,,,,,./0.png
0,0,"176",,,,,,,,,,,,,,,,,,./0.png
0,0,"177",,,,,,,,,,,,,,,,,,./0.png
0,0,"178",,,,,,,,,,,,,,,,,,./0.png
0,0,"179",,,,,,,,,,,,,,,,,,./0.png
0,0,"180",,,,,,,,,,,,,,,,,,./0.png
0,0,"181",,,,,,,,,,,,,,,,,,./0.png
0,0,"182",,,,,,,,,,,,,,,,,,./0.png
0,0,"183",,,,,,,,,,,,,,,,,,./0.png
0,0,"184",,,,,,,,,,,,,,,,,,./0.png
0,0,"185",,,,,,,,,,,,,,,,,,./0.png
0,0,"186",,,,,,,,,,,,,,,,,,./0.png
0,0,"187",,,,,,,,,,,,,,,,,,./0.png
0,0,"188",,,,,,,,,,,,,,,,,,./0.png
0,0,"189",,,,,,,,,,,,,,,,,,./0.png
0,0,"190",,,,,,,,,,,,,,,,,,./0.png
0,0,"191",,,,,,,,,,,,,,,,,,./0.png
0,0,"192",,,,,,,,,,,,,,,,,,./0.png
0,0,"193",,,,,,,,,,,,,,,,,,./0.png
0,0,"194",,,,,,,,,,,,,,,,,,./0.png
0,0,"195",,,,,,,,,,,,,,,,,,./0.png
0,0,"196",,,,,,,,,,,,,,,,,,./0.png
0,0,"197",,,,,,,,,,,,,,,,,,./0.png
0,0,"198",,,,,,,,,,,,,,,,,,./0.png
0,0,"199",,,,,,,,,,,,,,,,,,./0.png
0,0,"200",,,,,,,,,,,,,,,,,,./0.png
0,0,"201",,,,,,,,,,,,,,,,,,./0.png
0,0,"202",,,,,,,,,,,,,,,,,,./0.png
0,0,"203",,,,,,,,,,,,,,,,,,./0.png
0,0,"204",,,,,,,,,,,,,,,,,,./0.png
0,0,"205",,,,,,,,,,,,,,,,,,./0.png
0,0,"206",,,,,,,,,,,,,,,,,,./0.png
0,0,"207",,,,,,,,,,,,,,,,,,./0.png
0,0,"208",,,,,,,,,,,,,,,,,,./0.png
0,0,"209",,,,,,,,,,,,,,,,,,./0.png
0,0,"210",,,,,,,,,,,,,,,,,,./0.png
0,0,"211",,,,,,,,,,,,,,,,,,./0.png
0,0,"212",,,,,,,,,,,,,,,,,,./0.png
0,0,"213",,,,,,,,,,,,,,,,,,./0.png
0,0,"214",,,,,,,,,,,,,,,,,,./0.png
0,0,"215",,,,,,,,,,,,,,,,,,./0.png
0,0,"216",,,,,,,,,,,,,,,,,,./0.png
0,0,"217",,,,,,,,,,,,,,,,,,./0.png
